candidate_id,name,ai_recruiter_score
CAND_0018146,Neha Dutta,80.27
CAND_0088740,Nikhil Chowdary,80.27
CAND_0005273,Ira Iyengar,80.26
CAND_0095313,Reyansh Singh,80.26
CAND_0087134,Aadhya Arora,80.25
CAND_0036445,Ayaan Chatterjee,80.25
CAND_0015636,Diya Pandey,80.23
CAND_0053191,Manish Reddy,80.23
CAND_0067237,Pooja Shetty,80.23
CAND_0077276,Meera Kumar,80.22
CAND_0077091,Rajesh Agarwal,80.2
CAND_0096797,Reyansh Mukherjee,80.2
CAND_0072941,Rajesh Sethi,80.2
CAND_0024112,Ananya Shetty,80.19
CAND_0098074,Aisha Banerjee,80.19
CAND_0032290,Aarohi Mittal,80.18
CAND_0002711,Neha Menon,80.18
CAND_0032590,Myra Chatterjee,80.17
CAND_0040562,Arjun Mukherjee,80.17
CAND_0047816,Shreya Mishra,80.17
CAND_0011360,Amit Sen,80.17
CAND_0046392,Meera Pandey,80.16
CAND_0077505,Kavya Banerjee,80.15
CAND_0053369,Priya Mittal,80.15
CAND_0016491,Aditya Vora,80.15
CAND_0026448,Pari Chowdary,80.15
CAND_0069366,Sanjay Pandey,80.15
CAND_0082729,Manish Sen,80.15
CAND_0016053,Anjali Mittal,80.14
CAND_0046991,Amit Mehta,80.14
CAND_0030813,Jay Rao,80.13
CAND_0002567,Shaurya Verma,80.13
CAND_0098540,Jay Dutta,80.12
CAND_0011246,Sai Iyengar,80.12
CAND_0047276,Zara Rao,80.1
CAND_0050742,Myra Pillai,80.1
CAND_0006432,Pranav Malhotra,80.07
CAND_0054022,Yash Dalal,80.07
CAND_0095894,Zara Sen,80.07
CAND_0099891,Ishaan Goyal,80.06
CAND_0017253,Arjun Tiwari,80.06
CAND_0045460,Vivaan Bansal,80.05
CAND_0016900,Ved Mishra,80.05
CAND_0031885,Dhruv Naidu,80.05
CAND_0020094,Vihaan Mittal,80.04
CAND_0036709,Rohan Tiwari,80.04
CAND_0014616,Riya Joshi,80.03
CAND_0077677,Deepak Verma,80.02
CAND_0045783,Yash Chowdary,80.02
CAND_0048058,Naina Gupta,80.0
CAND_0048115,Deepak Kumar,79.99
CAND_0000454,Pranav Mishra,79.99
CAND_0000649,Tanya Chopra,79.99
CAND_0097235,Ishaan Malhotra,79.98
CAND_0019957,Zara Goyal,79.97
CAND_0005824,Aryan Gupta,79.96
CAND_0065790,Pranav Sen,79.96
CAND_0092211,Avni Patel,79.96
CAND_0056940,Jay Bose,79.94
CAND_0054649,Sunil Hegde,79.93
CAND_0098200,Dhruv Agarwal,79.93
CAND_0015681,Reyansh Mishra,79.92
CAND_0069078,Om Rao,79.91
CAND_0073779,Reyansh Mehta,79.91
CAND_0056563,Yash Mukherjee,79.9
CAND_0094427,Sai Desai,79.89
CAND_0047288,Neha Bansal,79.88
CAND_0090152,Dev Khanna,79.87
CAND_0087471,Sneha Rao,79.87
CAND_0036915,Dhruv Agarwal,79.86
CAND_0072223,Ishaan Reddy,79.86
CAND_0024987,Kavya Mittal,79.85
CAND_0065182,Zara Ghosh,79.85
CAND_0008813,Rahul Menon,79.84
CAND_0044753,Deepak Mukherjee,79.84
CAND_0002876,Rahul Chowdary,79.83
CAND_0040397,Vikram Reddy,79.83
CAND_0075251,Yash Shetty,79.83
CAND_0036474,Kabir Menon,79.83
CAND_0050732,Rajesh Krishnan,79.82
CAND_0075886,Ayaan Malhotra,79.82
CAND_0087844,Sneha Shah,79.81
CAND_0026652,Tanvi Desai,79.81
CAND_0034925,Shaurya Verma,79.8
CAND_0039684,Vikram Desai,79.8
CAND_0004210,Tanya Subramanian,79.8
CAND_0039535,Diya Banerjee,79.8
CAND_0059762,Mira Joshi,79.79
CAND_0099802,Ira Mishra,79.78
CAND_0019671,Meera Trivedi,79.77
CAND_0028981,Divya Verma,79.77
CAND_0054151,Aisha Malhotra,79.76
CAND_0007028,Neha Pandey,79.76
CAND_0025705,Atharv Dalal,79.76
CAND_0021152,Avni Arora,79.76
CAND_0021890,Priya Subramanian,79.75
CAND_0023669,Vivaan Bose,79.75
CAND_0056419,Ved Singh,79.74
CAND_0048503,Tanya Joshi,79.74
CAND_0094260,Ved Sharma,79.74
CAND_0073810,Deepak Sen,79.73
CAND_0079585,Nisha Goyal,79.73
CAND_0097014,Arnav Dalal,79.71
CAND_0046231,Ritu Subramanian,79.71
CAND_0026344,Arnav Pandey,79.7
CAND_0047823,Kabir Agarwal,79.7
CAND_0005724,Divya Khanna,79.7
CAND_0080497,Kabir Bansal,79.69
CAND_0042252,Kavya Bhatia,79.69
CAND_0070710,Siya Dutta,79.68
CAND_0066452,Tanvi Shah,79.68
CAND_0022659,Aarav Pandey,79.67
CAND_0069412,Karan Pandey,79.66
CAND_0063793,Manish Iyengar,79.65
CAND_0071891,Naina Naidu,79.64
CAND_0059923,Anil Mukherjee,79.63
CAND_0076857,Aditya Menon,79.63
CAND_0000184,Dev Singh,79.63
CAND_0098709,Aadhya Pandey,79.63
CAND_0032609,Kiara Iyengar,79.63
CAND_0081641,Ira Bose,79.62
CAND_0006313,Sai Trivedi,79.61
CAND_0014773,Ishaan Sen,79.61
CAND_0076963,Ved Verma,79.6
CAND_0086364,Anil Mehta,79.59
CAND_0006899,Mira Trivedi,79.59
CAND_0087506,Sanjay Chopra,79.59
CAND_0044657,Anil Dalal,79.59
CAND_0019724,Aarohi Desai,79.58
CAND_0013440,Avni Chopra,79.57
CAND_0064571,Nikhil Pillai,79.56
CAND_0093029,Ritu Trivedi,79.56
CAND_0060697,Dhruv Kumar,79.56
CAND_0096688,Aanya Chowdary,79.55
CAND_0000775,Arjun Bansal,79.54
CAND_0001530,Divya Iyer,79.54
CAND_0060898,Vivaan Hegde,79.53
CAND_0008124,Amit Chowdary,79.53
CAND_0091552,Rahul Verma,79.52
CAND_0037427,Ritu Krishnan,79.52
CAND_0019240,Jay Hegde,79.52
CAND_0027899,Reyansh Mittal,79.52
CAND_0003990,Tanvi Rao,79.51
CAND_0086515,Mira Banerjee,79.51
CAND_0052045,Saanvi Mittal,79.51
CAND_0017288,Divya Mishra,79.51
CAND_0088972,Advik Mehta,79.51
CAND_0095033,Ishaan Goyal,79.51
CAND_0061600,Avni Mishra,79.49
CAND_0089851,Pranav Hegde,79.49
CAND_0042385,Vihaan Malhotra,79.48
CAND_0010103,Pranav Iyengar,79.48
CAND_0043425,Riya Shah,79.48
CAND_0033155,Arjun Rao,79.47
CAND_0061602,Naina Krishnan,79.47
CAND_0083170,Arnav Kapoor,79.46
CAND_0043525,Ishaan Mehta,79.45
CAND_0019054,Ela Gupta,79.45
CAND_0008622,Aanya Chowdary,79.45
CAND_0079896,Diya Sethi,79.44
CAND_0075707,Vikram Desai,79.43
CAND_0070113,Anika Dalal,79.43
CAND_0070657,Nikhil Rao,79.42
CAND_0003956,Vihaan Dutta,79.42
CAND_0071595,Saanvi Kumar,79.42
CAND_0070114,Divya Mittal,79.41
CAND_0045624,Divya Kapoor,79.4
CAND_0046792,Anil Menon,79.4
CAND_0046571,Rohan Menon,79.4
CAND_0004963,Karan Ghosh,79.4
CAND_0092962,Nisha Kapoor,79.39
CAND_0024718,Rajesh Hegde,79.39
CAND_0063650,Meera Verma,79.38
CAND_0052615,Pari Iyer,79.38
CAND_0076625,Rohan Mukherjee,79.38
CAND_0057992,Anika Krishnan,79.37
CAND_0064594,Arnav Mittal,79.37
CAND_0064402,Neha Iyengar,79.37
CAND_0089852,Mira Bhatia,79.36
CAND_0080783,Tanvi Chowdary,79.36
CAND_0047964,Yash Sen,79.36
CAND_0059363,Aditya Ghosh,79.35
CAND_0073804,Aditya Naidu,79.35
CAND_0095041,Neha Hegde,79.35
CAND_0054453,Manish Krishnan,79.34
CAND_0043395,Pooja Banerjee,79.34
CAND_0044912,Diya Menon,79.33
CAND_0006693,Tanya Banerjee,79.32
CAND_0031075,Divya Bose,79.32
CAND_0079486,Ananya Arora,79.3
CAND_0021798,Ishaan Trivedi,79.3
CAND_0011952,Anika Mukherjee,79.3
CAND_0051888,Sai Iyengar,79.3
CAND_0015182,Rohan Trivedi,79.3
CAND_0010876,Kiara Mehta,79.29
CAND_0089644,Mira Chatterjee,79.29
CAND_0030859,Pranav Desai,79.28
CAND_0038599,Yash Krishnan,79.27
CAND_0054039,Sunil Chatterjee,79.27
CAND_0095304,Suresh Menon,79.27
CAND_0006536,Anika Singh,79.27
CAND_0044178,Vihaan Naidu,79.26
CAND_0001025,Sai Kapoor,79.26
CAND_0006237,Aanya Mehta,79.26
CAND_0048774,Pooja Kumar,79.26
CAND_0086484,Sneha Chowdary,79.26
CAND_0034593,Amit Chopra,79.25
CAND_0012444,Vivaan Desai,79.25
CAND_0057900,Neha Rao,79.25
CAND_0092455,Karan Chopra,79.24
CAND_0020878,Shreya Dutta,79.24
CAND_0019869,Saanvi Bose,79.24
CAND_0026093,Kiara Banerjee,79.23
CAND_0097226,Rohan Mukherjee,79.23
CAND_0050022,Ishaan Menon,79.23
CAND_0004677,Ela Patel,79.22
CAND_0089168,Shaurya Arora,79.21
CAND_0052263,Tanvi Dalal,79.21
CAND_0023307,Aanya Krishnan,79.21
CAND_0067144,Karan Dalal,79.2
CAND_0018672,Karan Nair,79.19
CAND_0085222,Ishaan Agarwal,79.19
CAND_0056351,Suresh Pillai,79.16
CAND_0026841,Dhruv Nair,79.16
CAND_0082189,Atharv Gupta,79.14
CAND_0045256,Sai Patel,79.14
CAND_0079468,Ved Mittal,79.14
CAND_0026466,Kavya Agarwal,79.14
CAND_0088382,Ishaan Verma,79.13
CAND_0095447,Sai Gupta,79.13
CAND_0064803,Aarohi Vora,79.13
CAND_0009074,Sanjay Reddy,79.12
CAND_0060562,Reyansh Dalal,79.12
CAND_0071958,Rahul Shah,79.12
CAND_0050291,Atharv Subramanian,79.12
CAND_0078332,Shreya Mehta,79.11
CAND_0023646,Suresh Naidu,79.1
CAND_0080107,Advik Goyal,79.1
CAND_0026587,Rajesh Pillai,79.09
CAND_0094589,Ira Mehta,79.09
CAND_0006024,Aryan Agarwal,79.09
CAND_0068789,Reyansh Saxena,79.09
CAND_0009735,Rajesh Nair,79.08
CAND_0041225,Sai Goyal,79.08
CAND_0067828,Neha Krishnan,79.08
CAND_0036753,Karan Chowdary,79.07
CAND_0075356,Neha Banerjee,79.07
CAND_0078066,Avni Chatterjee,79.07
CAND_0012730,Myra Agarwal,79.07
CAND_0084924,Rahul Mittal,79.07
CAND_0065240,Shaurya Khanna,79.06
CAND_0064302,Aryan Mishra,79.06
CAND_0009762,Nisha Chowdary,79.05
CAND_0090355,Aisha Naidu,79.05
CAND_0028425,Ela Banerjee,79.05
CAND_0035410,Atharv Chatterjee,79.04
CAND_0088219,Kabir Hegde,79.04
CAND_0074887,Arnav Kapoor,79.04
CAND_0038518,Meera Desai,79.03
CAND_0089869,Atharv Reddy,79.02
CAND_0022435,Myra Kapoor,79.02
CAND_0056795,Jay Singh,79.02
CAND_0069155,Arnav Joshi,79.01
CAND_0029230,Aadhya Arora,79.01
CAND_0045955,Sneha Rao,79.01
CAND_0072494,Aditya Hegde,79.0
CAND_0036962,Dhruv Sethi,79.0
CAND_0032456,Ela Kapoor,79.0
CAND_0057441,Arjun Malhotra,79.0
CAND_0074978,Rohan Chopra,79.0
CAND_0012557,Aisha Shah,78.99
CAND_0071617,Dhruv Kapoor,78.99
CAND_0025274,Zara Banerjee,78.96
CAND_0073645,Kabir Saxena,78.96
CAND_0078484,Aarav Gupta,78.96
CAND_0047260,Dhruv Krishnan,78.96
CAND_0050656,Kavya Rao,78.95
CAND_0045222,Dhruv Krishnan,78.94
CAND_0054860,Tanya Dutta,78.93
CAND_0031533,Om Malhotra,78.93
CAND_0045194,Yash Chowdary,78.93
CAND_0026426,Ananya Kapoor,78.93
CAND_0062403,Amit Naidu,78.92
CAND_0093426,Vivaan Hegde,78.92
CAND_0001227,Pooja Patel,78.9
CAND_0060825,Suresh Sharma,78.89
CAND_0061358,Nisha Joshi,78.89
CAND_0071657,Pranav Bose,78.89
CAND_0097400,Aisha Verma,78.89
CAND_0083685,Reyansh Bhatia,78.88
CAND_0024082,Ananya Arora,78.88
CAND_0091087,Vikram Sen,78.88
CAND_0017186,Meera Banerjee,78.88
CAND_0099998,Shreya Agarwal,78.88
CAND_0087708,Sunil Iyengar,78.87
CAND_0076701,Yash Mehta,78.87
CAND_0024522,Saanvi Mishra,78.86
CAND_0029263,Avni Arora,78.86
CAND_0045182,Vikram Dalal,78.86
CAND_0024438,Ira Naidu,78.86
CAND_0034456,Advik Subramanian,78.86
CAND_0044644,Jay Vora,78.86
CAND_0039102,Advik Desai,78.86
CAND_0090178,Dev Desai,78.85
CAND_0071558,Atharv Kumar,78.85
CAND_0067929,Ira Desai,78.85
CAND_0079945,Aarav Mishra,78.84
CAND_0001734,Aarohi Reddy,78.83
CAND_0097821,Aarohi Shetty,78.83
CAND_0036413,Riya Bhatia,78.83
CAND_0056952,Rajesh Singh,78.83
CAND_0097430,Anjali Mukherjee,78.83
CAND_0016206,Sai Bansal,78.82
CAND_0095723,Tanvi Naidu,78.82
CAND_0016083,Sneha Khanna,78.82
CAND_0007473,Manish Malhotra,78.82
CAND_0076728,Zara Malhotra,78.82
CAND_0028927,Sai Sethi,78.81
CAND_0027169,Advaith Agarwal,78.81
CAND_0042280,Mira Saxena,78.81
CAND_0088120,Arnav Chowdary,78.81
CAND_0082347,Reyansh Shetty,78.8
CAND_0072304,Deepak Tiwari,78.8
CAND_0050792,Deepak Saxena,78.8
CAND_0080048,Ira Reddy,78.8
CAND_0090681,Advik Bhatia,78.8
CAND_0045563,Sai Sen,78.79
CAND_0053666,Ritu Gupta,78.79
CAND_0099983,Anjali Shah,78.78
CAND_0025574,Aditya Goyal,78.78
CAND_0017909,Tanvi Kumar,78.78
CAND_0011309,Advaith Desai,78.78
CAND_0017478,Avni Singh,78.78
CAND_0034853,Kabir Desai,78.78
CAND_0070314,Om Dutta,78.77
CAND_0046259,Neha Singh,78.77
CAND_0089737,Nisha Mukherjee,78.77
CAND_0000996,Dev Tiwari,78.76
CAND_0003802,Pooja Dutta,78.76
CAND_0000190,Pari Kapoor,78.75
CAND_0000452,Mira Chatterjee,78.74
CAND_0012827,Dhruv Kumar,78.74
CAND_0040921,Zara Ghosh,78.74
CAND_0011547,Mira Naidu,78.73
CAND_0083638,Dhruv Joshi,78.73
CAND_0017988,Shreya Rao,78.72
CAND_0073180,Sunil Pandey,78.72
CAND_0079194,Dev Bose,78.72
CAND_0097800,Aarav Mukherjee,78.72
CAND_0049853,Rajesh Joshi,78.71
CAND_0061310,Mira Menon,78.71
CAND_0078595,Vihaan Krishnan,78.71
CAND_0038471,Rajesh Goyal,78.7
CAND_0057192,Kiara Bansal,78.7
CAND_0092953,Karan Tiwari,78.69
CAND_0057293,Vivaan Shah,78.69
CAND_0099145,Sai Arora,78.69
CAND_0075700,Ira Shah,78.69
CAND_0022865,Ved Desai,78.68
CAND_0053001,Kiara Sharma,78.68
CAND_0011698,Rajesh Mehta,78.68
CAND_0074262,Rahul Dutta,78.67
CAND_0016198,Tanvi Subramanian,78.67
CAND_0014087,Ira Pandey,78.67
CAND_0035753,Karan Sethi,78.67
CAND_0041004,Ira Pandey,78.67
CAND_0063118,Rahul Pillai,78.67
CAND_0063925,Mira Chowdary,78.67
CAND_0087072,Rahul Agarwal,78.66
CAND_0047532,Saanvi Shetty,78.66
CAND_0097869,Shaurya Subramanian,78.66
CAND_0028134,Aarohi Chopra,78.66
CAND_0047975,Arjun Sharma,78.65
CAND_0040822,Nisha Pandey,78.65
CAND_0016475,Myra Mehta,78.64
CAND_0061591,Sunil Pandey,78.63
CAND_0011343,Shreya Naidu,78.62
CAND_0004852,Aarav Malhotra,78.61
CAND_0095388,Arjun Ghosh,78.61
CAND_0002920,Karan Chopra,78.6
CAND_0023640,Aisha Dutta,78.59
CAND_0069660,Mira Pillai,78.59
CAND_0030577,Zara Agarwal,78.59
CAND_0026006,Saanvi Shetty,78.59
CAND_0073017,Ananya Bansal,78.58
CAND_0061316,Neha Arora,78.58
CAND_0093855,Myra Dutta,78.57
CAND_0099524,Ela Vora,78.56
CAND_0023222,Pooja Saxena,78.56
CAND_0089690,Tanya Krishnan,78.56
CAND_0016220,Rahul Nair,78.56
CAND_0008945,Dev Sethi,78.56
CAND_0096293,Arnav Desai,78.55
CAND_0053234,Vikram Subramanian,78.55
CAND_0052259,Ritu Kapoor,78.55
CAND_0044882,Aditya Arora,78.54
CAND_0020266,Myra Chatterjee,78.53
CAND_0007011,Vivaan Trivedi,78.53
CAND_0005732,Krishna Gupta,78.52
CAND_0005030,Kabir Bansal,78.51
CAND_0029327,Arjun Chowdary,78.51
CAND_0007485,Zara Trivedi,78.51
CAND_0055766,Diya Khanna,78.51
CAND_0090736,Diya Mehta,78.51
CAND_0092109,Vikram Bhatia,78.5
CAND_0088815,Zara Saxena,78.5
CAND_0083372,Arjun Chopra,78.49
CAND_0079701,Sanjay Sen,78.49
CAND_0022836,Karan Chowdary,78.49
CAND_0054276,Rohan Iyengar,78.49
CAND_0045433,Nisha Arora,78.48
CAND_0075216,Diya Pandey,78.48
CAND_0002704,Ayaan Agarwal,78.48
CAND_0018555,Atharv Menon,78.48
CAND_0094957,Sneha Bhatia,78.48
CAND_0029614,Tanvi Reddy,78.47
CAND_0032431,Ritu Pandey,78.47
CAND_0043528,Ishaan Banerjee,78.47
CAND_0038361,Myra Malhotra,78.47
CAND_0090274,Kiara Iyer,78.46
CAND_0037332,Naina Agarwal,78.46
CAND_0007298,Aarav Naidu,78.46
CAND_0001212,Siya Saxena,78.46
CAND_0021636,Mira Malhotra,78.46
CAND_0018615,Ananya Krishnan,78.46
CAND_0008624,Rahul Mehta,78.45
CAND_0038792,Ved Chopra,78.45
CAND_0069845,Ira Joshi,78.45
CAND_0073924,Pranav Banerjee,78.45
CAND_0078256,Advik Dalal,78.44
CAND_0007525,Kavya Iyer,78.44
CAND_0017859,Pooja Nair,78.43
CAND_0093051,Ishaan Joshi,78.43
CAND_0029636,Diya Mukherjee,78.42
CAND_0090667,Sunil Bhatia,78.42
CAND_0058958,Sneha Hegde,78.42
CAND_0024195,Aarav Malhotra,78.41
CAND_0065268,Ela Verma,78.41
CAND_0018429,Kiara Pillai,78.41
CAND_0020859,Jay Chopra,78.4
CAND_0056176,Pooja Mehta,78.4
CAND_0082726,Advik Mishra,78.39
CAND_0010572,Advaith Singh,78.39
CAND_0048295,Diya Malhotra,78.39
CAND_0043064,Suresh Verma,78.39
CAND_0012308,Ved Mittal,78.38
CAND_0063740,Sanjay Agarwal,78.37
CAND_0000944,Shreya Arora,78.37
CAND_0019119,Siya Pillai,78.37
CAND_0051922,Advaith Banerjee,78.37
CAND_0043189,Pooja Mukherjee,78.37
CAND_0010903,Vihaan Reddy,78.37
CAND_0027530,Reyansh Pillai,78.37
CAND_0091072,Reyansh Saxena,78.36
CAND_0069933,Riya Mehta,78.36
CAND_0090482,Rajesh Bansal,78.36
CAND_0078273,Jay Ghosh,78.36
CAND_0097075,Yash Kapoor,78.36
CAND_0004108,Anjali Joshi,78.35
CAND_0077978,Shreya Dutta,78.35
CAND_0032987,Ira Pandey,78.35
CAND_0077060,Pooja Kapoor,78.35
CAND_0091147,Pranav Dutta,78.33
CAND_0077031,Amit Pandey,78.33
CAND_0047799,Mira Banerjee,78.33
CAND_0064408,Meera Pandey,78.33
CAND_0084089,Kabir Malhotra,78.33
CAND_0014294,Dev Shah,78.33
CAND_0057523,Sai Bhatia,78.33
CAND_0092171,Riya Desai,78.32
CAND_0083064,Mira Pandey,78.32
CAND_0054419,Dev Gupta,78.32
CAND_0017101,Sneha Dalal,78.31
CAND_0007672,Ayaan Nair,78.3
CAND_0003861,Mira Nair,78.29
CAND_0032864,Ira Shah,78.29
CAND_0098438,Deepak Banerjee,78.29
CAND_0011344,Vikram Kumar,78.29
CAND_0066133,Amit Ghosh,78.29
CAND_0021938,Aditya Mishra,78.29
CAND_0000001,Ira Vora,78.28
CAND_0066088,Aanya Sen,78.28
CAND_0051367,Tanya Gupta,78.28
CAND_0096547,Rajesh Mittal,78.27
CAND_0032761,Sneha Dalal,78.27
CAND_0087196,Advik Singh,78.27
CAND_0007558,Arnav Tiwari,78.26
CAND_0093400,Manish Sharma,78.26
CAND_0022599,Yash Joshi,78.26
CAND_0010630,Kiara Reddy,78.25
CAND_0016481,Anika Iyer,78.25
CAND_0060357,Divya Chopra,78.25
CAND_0099204,Suresh Dutta,78.24
CAND_0086267,Anil Chopra,78.24
CAND_0028079,Vihaan Mehta,78.24
CAND_0005887,Neha Agarwal,78.23
CAND_0049305,Aryan Verma,78.23
CAND_0016919,Kavya Hegde,78.23
CAND_0052618,Anil Bansal,78.23
CAND_0088388,Sai Agarwal,78.23
CAND_0023366,Aarav Verma,78.22
CAND_0043240,Pari Shetty,78.22
CAND_0006929,Suresh Goyal,78.22
CAND_0060781,Neha Saxena,78.22
CAND_0024031,Kabir Chowdary,78.21
CAND_0090933,Rahul Agarwal,78.21
